Titre	Artiste	Quebec	Année	Style	Genre
Tant qu'on aura de l'amour	Les Cowboys Frigants	Oui			
Puits sans fond	Vulgaires Machins	Oui			
Hawaiienne	Les Trois Accords	Oui			
Calvaire	La Chicane	Oui			
Sous le Vent	Garou (ft Celine Dion)	Oui			
Libérez-Nous Des Libéraux	Loco Locass	Oui			
Rêver Mieux	Daniel Bélanger	Oui			
Bonhomme 7h	eXterio	Oui			
Bobépine	Plume Latraverse	Oui			
Jeter un sort	Laurence Jalbert	Oui			
Harmonium	Harmonium	Oui			
Caline de Blues	Offenbach	Oui			
Grand Champion	Les Trois Accords	Oui			
Gros Zéro	Yelo Molo	Oui			
Dans une Galaxie près de chez vous	Les Costauds	Oui			
Les Chats Sauvages	Marjo	Oui			
J'espère encore que quelque part l'attente s'arrête	Lou-Adriane Cassidy	Oui			
Si je rampe	Ariane Roy	Oui			
20th Century Boy	T. Rex		1973	Glam	
25 or 6 to 4	Chicago		1970	Classic Rock	
Antibodies	Poni Hoax		2008	New Wave	
Beast and the Harlot	Avenged Sevenfold		2005	Metal	
The Beautiful People	Marilyn Manson		1996	Metal	
Been Caught Stealing	Jane's Addiction		1990	Alternative	
Before I Forget	Slipknot		2004	Nu-Metal	
Bohemian Rhapsody	Queen		1975	Classic Rock	
Break on Through (To the Other Side)	The Doors		1967	Classic Rock	
Caught in a Mosh	Anthrax		1987	Metal	
Centerfold	The J. Geils Band		1981	Rock	
China Grove	The Doobie Brothers		1973	Classic Rock	
Cold as Ice	Foreigner		1977	Classic Rock	
Combat Baby	Metric		2003	Indie Rock	
The Con	Tegan and Sara		2007	Indie Rock	
Crazy Train	Ozzy Osbourne		1980	Metal	
Crosstown Traffic	The Jimi Hendrix Experience		1968	Classic Rock	
Dead End Friends	Them Crooked Vultures		2009	Rock	
Don't Bury Me... I'm Still Not Dead	Riverboat Gamblers		2006	Punk	
Don't Stand So Close to Me	The Police		1980	Rock	
Du Hast	Rammstein		1997	Metal	
Everybody Wants to Rule the World	Tears for Fears		1985	New Wave	
False Alarm	The Bronx		2003	Punk	
Fly Like an Eagle	Steve Miller Band		1976	Classic Rock	
Foolin'	Def Leppard		1983	Rock	
Free Bird	Lynyrd Skynyrd		1973	Southern Rock	
Get Free	The Vines		2002	Rock	
Get Up, Stand Up	Bob Marley and the Wailers		1973	Reggae/Ska	
Good Vibrations (Live)[b]	The Beach Boys		1968	Classic Rock	
The Hardest Button to Button	The White Stripes		2003	Rock	
Heart of Glass	Blondie		1978	New Wave	
Here I Go Again	Whitesnake		1987	Glam	
Hey Man, Nice Shot	Filter		1995	Alternative	
Humanoid	Tokio Hotel		2009	Pop-Rock	
I Can See for Miles	The Who		1967	Classic Rock	
I Got You (I Feel Good) (Alternative Version)[c]	James Brown		1974	R&B/Soul/Funk	
I Love Rock N' Roll	Joan Jett & The Blackhearts		1981	Punk	
I Need to Know	Tom Petty and the Heartbreakers		1978	Rock	
I Wanna Be Sedated	Ramones		1978	Punk	
Imagine[d]	John Lennon		1971	Classic Rock	
In a Big Country	Big Country		1983	New Wave	
In the Meantime	Spacehog		1995	Alternative	
Jerry Was a Race Car Driver	Primus		1991	Alternative	
Just Like Heaven	The Cure		1987	New Wave	
Killing Loneliness	HIM		2005	Alternative	
The Killing Moon	Echo & The Bunnymen		1984	New Wave	
King George	Dover		2001	Rock	
Lasso	Phoenix		2009	Alternative	
Last Dance	The Raveonettes		2009	Indie Rock	
Living in America	The Sounds		2002	New Wave	
Llama	Phish		1992	Rock	
The Look	Roxette		1988	Pop-Rock	
Low Rider	WAR		1975	R&B/Soul/Funk	
Me Enamora	Juanes		2007	Pop-Rock	
Midlife Crisis	Faith No More		1992	Rock	
Misery Business	Paramore		2007	Pop-Rock	
Need You Tonight	INXS		1987	Pop-Rock	
No One Knows	Queens of the Stone Age		2002	Alternative	
Oh My God	Ida Maria		2008	Alternative	
One Armed Scissor	At the Drive-In		2000	Rock	
Outer Space[e]	The Muffs		1997	Pop-Rock	
Oye Mi Amor	Maná		1992	Pop-Rock	
Plush	Stone Temple Pilots		1992	Alternative	
Portions for Foxes	Rilo Kiley		2004	Indie Rock	
The Power of Love	Huey Lewis and the News		1985	Rock	
Radar Love	Golden Earring		1973	Classic Rock	
Rainbow in the Dark	Dio		1983	Metal	
Rehab	Amy Winehouse		2006	R&B/Soul/Funk	
Rock Lobster	The B-52's		1979	New Wave	
Roundabout	Yes		1971	Prog	
Saturday Night's Alright for Fighting	Elton John		1973	Classic Rock	
Sister Christian	Night Ranger		1983	Rock	
Smoke on the Water	Deep Purple		1972	Classic Rock	
Something Bigger, Something Brighter	Pretty Girls Make Graves		2003	Indie Rock	
Space Oddity	David Bowie		1969	Glam	
Stop Me If You Think You've Heard This One Before	The Smiths		1987	Indie Rock	
This Bastard's Life	Swingin' Utters		1998	Punk	
Viva la Resistance	Hypernova		2010	Indie Rock	
Walk of Life	Dire Straits		1985	Rock	
Walking on the Sun	Smash Mouth		1997	Pop-Rock	
Werewolves of London	Warren Zevon		1978	Classic Rock	
Whip It[e]	Devo		1980	New Wave	
Yoshimi Battles the Pink Robots Pt. 1	The Flaming Lips		2002	Alternative	
Light My Fire	The Doors				
Riders on the Storm	The Doors				
Touch Me	The Doors				
Hello, I Love You	The Doors				
L.A. Woman	The Doors				
Love Her Madly	The Doors				
Love Me Two Times	The Doors				
Peace Frog	The Doors				
People Are Strange	The Doors				
Roadhouse Blues	The Doors				
Soul Kitchen	The Doors				
The Crystal Ship	The Doors				
Subdivisions	Rush				
Bad Medicine	Bon Jovi				
Blaze of Glory	Bon Jovi				
Have a Nice Day	Bon Jovi				
I'll Be There for You	Bon Jovi				
It's My Life	Bon Jovi				
Lay Your Hands on Me	Bon Jovi				
Livin' on a Prayer (RB3 Version)	Bon Jovi				
Runaway	Bon Jovi				
Wanted Dead or Alive (RB3 Version)	Bon Jovi				
We Weren't Born To Follow	Bon Jovi				
Who Says You Can't Go Hone	Bon Jovi				
You Give Love a Bad Name (RB3 Version)	Bon Jovi				
Blue Monday	New Order				
Burning Down the House	Talking Heads				
My Own Summer	Deftones				
Jive Talkin'	Bee Gees				
Night Fever	Bee Gees				
Stayin' Alive	Bee Gees				
Nights on Broadway	Bee Gees				
Tragedy	Bee Gees				
You Should Be Dancing	Bee Gees				
The Thrill Is Gone	B.B. King				
A Whiter Shade of Pale	Procol Harum				
Crippled Inside	John Lennon				
Jealous Guy	John Lennon				
It's So Hard	John Lennon				
I Don't Want to Be a Soldier, Mama	John Lennon				
Gimme Some Truth	John Lennon				
Oh My Love	John Lennon				
How Do You Sleep?	John Lennon				
How?	John Lennon				
Oh, Yoko	John Lennon				
Hold on Loosely	.38 Special				
Can't Get Enough	Bad Company				
Saturday Night Special	Lynyrd Skynyrd				
Sweet Home Alabama (Live)	Lynyrd Skynyrd				
Tuesday's Gone	Lynyrd Skynyrd				
What's Your Name?	Lynyrd Skynyrd				
Hammer to Fall	Queen				
Keep Yourself Alive	Queen				
Now I'm Here	Queen				
Play the Game	Queen				
Tenement Funster	Queen				
We Are the Champions (RB3 Version)	Queen				
We Will Rock You (RB3 Version)	Queen				
I Want It All (RB3 Version)	Queen				
I Want to Break Free (RB3 Version)	Queen				
Killer Queen (RB3 Version)	Queen				
One Vision (RB3 Version)	Queen				
Somebody To Love (RB3 Version)	Queen				
Under Pressure	Queen and David Bowie				
Big Shot	Billy Joel				
Captain Jack	Billy Joel				
It's Still Rock and Roll to Me	Billy Joel				
Movin' Out (Anthony's Song)	Billy Joel				
Only the Good Die Young	Billy Joel				
Piano Man	Billy Joel				
Pressure	Billy Joel				
Say Goodbye to Hollywood	Billy Joel				
The Entertainer	Billy Joel				
The Stranger	Billy Joel				
We Didn't Start the Fire	Billy Joel				
You May Be Right	Billy Joel				
Happy Xmas (War Is Over)	John & Yoko/The Plastic Ono Band				
Peut-Être Une Angine	Anaïs Crozer				
Dis-Moi	BB Brunes				
Verdamp Lang Her	BAP				
Nur Ein Wort	Wir Sind Helden				
Fantasma	Linea 77				
Proibito	Litfiba				
Starting to Appreciate	Tutankamon				
Dame Aire	Skizoo				
Jerk It Out	Caesars				
Maybe I'm Amazed	Paul McCartney				
Band on the Run	Paul McCartney & Wings				
Helen Wheels	Paul McCartney & Wings				
Let Me Roll It	Paul McCartney & Wings				
Open My Eyes	Inhabited				
Cities In Dust	Siouxsie and The Banshees				
Cry, Cry, Cry	Johnny Cash				
Don't Take Your Guns to Town	Johnny Cash				
Five Feet High and Rising	Johnny Cash				
Folsom Prison Blues	Johnny Cash				
I Got Stripes	Johnny Cash				
I Walk the Line	Johnny Cash				
Tennessee Flat Top Box	Johnny Cash				
The Ballad of Ira Hayes	Johnny Cash				
Visions	Abnormality				
Get Clean	Anarchy Club				
Night Lies	Bang Camaro				
Shoulder to the Plow	Breaking Wheel				
Welcome to the Neighborhood	Lybians				
A Jagged Gorgeous Winter	The Main Drag				
Conventional Lover	Speck				
Supreme Girl	The Sterns				
Rob the Prez-O-Dent	That Handsome Devil				
Crawling	Linkin Park				
In the End	Linkin Park				
Numb	Linkin Park				
Somewhere I Belong	Linkin Park				
Waiting for the End	Linkin Park				
What I've Done	Linkin Park				
Made of Scares	Stone Sour				
Say You'll Haunt Me	Stone Sour				
Through Glass	Stone Sour				
Blue Jean	David Bowie				
Fame	David Bowie				
Modern Love	David Bowie				
Young Americans	David Bowie				
Ziggy Stardust	David Bowie				
London Calling	The Clash				
Brand New Cadillac	The Clash				
Jimmy Jazz	The Clash				
Hateful	The Clash				
Rudie Can't Fail	The Clash				
Spanish Bombs	The Clash				
The Right Profile	The Clash				
Lost in the Supermarket	The Clash				
Clampdown	The Clash				
The Guns of Brixton	The Clash				
Wrong 'Em Boyo	The Clash				
Death or Glory	The Clash				
Koka Kola	The Clash				
The Card Cheat	The Clash				
Lover's Rock	The Clash				
Four Horsemen	The Clash				
I'm Not Down	The Clash				
Revolution Rock	The Clash				
Bend Down Low	Bob Marley and The Wailers				
Burnin' and Lootin'	Bob Marley and The Wailers				
Coming in From The Cold	Bob Marley and The Wailers				
Kaya	Bob Marley and The Wailers				
Lively Up Yourself	Bob Marley and The Wailers				
No More Trouble	Bob Marley and The Wailers				
Small Axe	Bob Marley and The Wailers				
Them Belly Full (But We Hungry)	Bob Marley and The Wailers				
Obsession	Animotion				
Airplanes	B.o.B feat. Hayley Williams				
Total Eclipse of the Heart	Bonnie Tyler				
Don't You Want Me	The Human League				
Need You Now	Lady Antebellum				
Paradise by the Dashboard Light	Meat Loaf				
Stop Draggin' My Heart Around	Stevie Nicks & Tom Petty and The Heartbreakers				
Fire and Ice	Pat Benatar				
Love Is a Battlefield	Pat Benatar				
Shadows of the Night	Pat Benatar				
We Belong	Pat Benatar				
Invincible	Pat Benatar				
Promises in the Dark	Pat Benatar				
Terrible Lie	Nine Inch Nails				
Head Like a Hole	Nine Inch Nails				
Sanctified	Nine Inch Nails				
The Only Time	Nine Inch Nails				
Never Let Me Down Again	Depeche Mode				
Personal Jesus	Depeche Mode				
Policy of Truth	Depeche Mode				
I Will Possess Your Heart	Death Cab for Cutie				
Shooting the Moon	OK Go				
Every Breath You Take	The Police				
So Lonely	The Police				
Spill the Wine	War				
I Go to Extremes	Billy Joel				
Miami 2017 (Seen the Lights Go Out on Broadway)	Billy Joel				
My Life	Billy Joel				
Prelude/Angry Young Man	Billy Joel				
Scenes from an Italian Restaurant	Billy Joel				
She's Always a Woman	Billy Joel				
Somebody to Love	Jefferson Airplane				
Spinning Wheel	Blood, Sweet & Tears				
Black Magic Woman	Carlos Santana				
Through the Fire and Flames	DragonForce				
Operation Ground and Pound	DragonForce				
The Loco-Motion	Grand Funk Railroad (original by Little Eva)				
We're an American Band	Grand Funk Railroad				
Freeze-Frame	The J. Geils Band				
Love Will Tear Us Apart	Joy Division				
Dreams	Fleetwood Mac				
Gold Dust Woman	Fleetwood Mac				
Landslide	Fleetwood Mac				
Rhiannon	Fleetwood Mac				
Edge of Seventeen	Stevie Nicks				
Stand Back	Stevie Nicks				
Breaking	Anberlin				
Blood and Thunder	Mastodon				
Fire	Ohio Players				
Love Rollercoaster	Ohio Players				
Must Have Done Something Right	Relient K				
867-5309/Jenny	Tommy Tutone				
Blue Bayou	Roy Orbison				
Dream Baby (How Long Must I Dream)	Roy Orbison				
Only the Lonely (Know the Way I Feel)	Roy Orbison				
Rock and Roll All Nite (Live)	KISS				
Strutter (Live)	KISS				
Do You Really Want to Hurt Me	Culture Club				
From Out of Nowhere	Faith No More				
Working for the Weekend	Loverboy				
Stash	Phish				
Tweezer	Phish				
Big Bang Baby	Stone Temple Pilots				
Long Road to Ruin	Foo Fighters				
Rope	Foo Fighters				
Stacked Actors	Foo Fighters				
Walk	Foo Fighters				
Hard Rock Hallelujah	Lordi				
King of Rock	Run-DMC				
Five Minutes Alone	Pantera				
Walk	Pantera				
Mouth for War	Pantera				
I'm Broken	Pantera				
Do You Feel Like We Do (Live)	Peter Frampton				
Born This Way	Lady Gaga				
Lovegame	Lady Gaga				
Paparazzi	Lady Gaga				
Hot Blooded	Foreigner				
Urgent	Foreigner				
Mr. Crowley	Ozzy Osbourne				
Over the Mountain	Ozzy Osbourne				
Bark at the Moon	Ozzy Osbourne				
Mama, I'm Coming Home	Ozzy Osbourne				
Steal Away (The Night)	Ozzy Osbourne				
Flying High Again	Ozzy Osbourne				
Diary of a Madman	Ozzy Osbourne				
I Don't Know	Ozzy Osbourne				
Grenade	Bruno Mars				
Just the Way You Are	Bruno Mars				
Marry You	Bruno Mars				
Audience of One	Rise Against				
Help Is on the Way	Rise Against				
The Good Left Undone	Rise Against				
Take on Me	A-ha				
Unholy Confessions	Avenged Sevenfold				
Welcome to the Family	Avenged Sevenfold				
Tubthumping	Chumbawamba				
I Alone	Live				
Lightning Crashes	Live				
Misery	Maroon 5				
This Love	Maroon 5				
Won't Go Home Without You	Maroon 5				
Blurry	Puddle of Mudd				
Control	Puddle of Mudd				
She Hates Me	Puddle of Mudd				
Here Without You	3 Doors Down				
When I'm Gone	3 Doors Down				
When You're Young	3 Doors Down				
Nothin' But a Good Time	Poison				
Talk Dirty to Me	Poison				
Unskinny Bop	Poison				
For What It's Worth	Buffalo Springfield				
Man on the Moon	R.E.M.				
Aerials	System of a Down				
Hypnotize	System of a Down				
Turning Japanese	The Vapors				
A Little Respect	Erasure				
Relax	Frankie Goes To Hollywood				
Boom	P.O.D.				
Young of the Nation	P.O.D.				
Blow Up the Outside World	Soundgarden				
Burden in My Hand	Soundgarden				
Fell on Black Days	Soundgarden				
Outshined	Soundgarden				
Rusty Cage	Soundgarden				
The Day I Tried to Live	Soundgarden				
Heart of the Sunrise	Yes				
I've Seen All Good People	Yes				
Owner of a Lonely Heart	Yes				
South Side of the Sky	Yes				
Starship Trooper	Yes				
Make Some Noise	Beastie Boys				
No Sleep Till Brooklyn	Beastie Boys				
Barracuda	Heart				
Super Bad, Pts. 1 & 2	James Brown				
Tell Me Something Good	Rufus feat. Chaka Khan				
Animal (Live)	Def Leppard				
Bringin' On the Heartbreak	Def Leppard				
Photograph	Def Leppard				
Pour Some Sugar on Me (Live)	Def Leppard				
Rock of Ages	Def Leppard				
Undefeated	Def Leppard				
Dance, Dance	Fall Out Boy				
Sugar, We're Goin Down	Fall Out Boy				
Thnks fr th Mmrs	Fall Out Boy				
Child in Time	Deep Purple				
Adolescents	Incubus				
Pardon Me	Incubus				
Wish You Were Here	Incubus				
By the Way	Red Hot Chili Peppers				
Californication	Red Hot Chili Peppers				
Look Around	Red Hot Chili Peppers				
Monarchy of Roses	Red Hot Chili Peppers				
Otherside	Red Hot Chili Peppers				
Parallel Universe	Red Hot Chili Peppers				
Scar Tissue	Red Hot Chili Peppers				
The Adventures of Rain Dance Maggie	Red Hot Chili Peppers				
I Want You to Want Me (Live)	Cheap Trick				
Surrender (Live)	Cheap Trick				
Dream Police	Cheap Trick				
Unbelievable	EMF				
Me and Bobby McGee	Janis Joplin and the Full Tilt Boogie Band				
Hash Pipe	Weezer				
Island in the Sun	Weezer				
Perfect Situation	Weezer				
Heart-Shaped Box	Nirvana				
Rape Me	Nirvana				
All Apologies	Nirvana				
You Know You're Right	Nirvana				
Wait and Bleed	Slipknot				
Left Behind	Slipknot				
Pulse of the Maggots	Slipknot				
Snuff	Slipknot				
Gold Cobra	Limp Bizkit				
Nookie	Limp Bizkit				
My Way	Limp Bizkit				
Re-Arranged	Limp Bizkit				
Rock the Casbah	The Clash				
The Party Song	Blink-182				
Stay Together for the Kids	Blink-182				
Up All Night	Blink-182				
Yellow	Coldplay				
The Scientist	Coldplay				
Clocks	Coldplay				
Fix You	Coldplay				
Viva La Vida	Coldplay				
Every Teardrop Is a Waterfall	Coldplay				
I Believe in a Thing Called Love	The Darkness				
Living Dead Girl	Rob Zombie				
Thunder Kiss '65	White Zombie				
Super-Charger Heaven	White Zombie				
Sooner or Later	Breaking Benjamin				
Breath	Breaking Benjamin				
Until the End	Breaking Benjamin				
Forever	Papa Roach				
Single White Female (RB3 version)	Chely Wright				
Giddy on Up (RB3 version)	Laura Bell Bundy				
